Series_reference,Period,Data_value,Suppressed,Status,Units,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BLDA.S300001,1967.01,8.9,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1968.01,7.9,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1969.01,7.9,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1970.01,8.2,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1971.01,8.3,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1972.01,8.1,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1973.01,10.3,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1974.01,13.2,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1975.01,11.1,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1976.01,10,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1977.01,9.8,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1978.01,7.4,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1979.01,6.1,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1980.01,4.9,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1981.01,4.6,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1982.01,5.7,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1983.01,5.2,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1984.01,5.9,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1985.01,6.7,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1986.01,7.3,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1987.01,6.1,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1988.01,6,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1989.01,5.7,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
BLDA.S300001,1990.01,6.7,n,F,Number,0,Building Consents - BLD,Dwellings consented per 1000 residents by territorial authority,New Zealand,,,,
